text,label
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,1
"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",0
"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.",0
"ফ্রি রেজিস্ট্রেশন, লাখপতি হওয়ার সেরা সুযোগ!",1
"আজ রিচার্জে
২৯৭Tk-১৫GB+৩০০মি ৩০D/*123*297*1#
৯৮TK-৭GB+৬০মি ৭D/*123*098*1#
৬৮TK-৬GB ৩D/*123*068*1#
 বিকাশ/নগদ/উপায়/রকেটেও পাবেন|",1
I want to see your pretty pussy...,0
I'm in class. Will holla later,0
But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,0
আল্লাহর কাছে প্রত্যেকটা মুহুর্তে আমাদের শুকরিয়া আদায় করা উচিৎ।,0
ঠিক৳২৫০০০০ A/C টু A/C ট্রান্সফারে আস্থায় ফ্রি ৫০০MB;tinyurl.com/BBLDR3,1
ট্রানজ্যাকশন নম্বর R231027.1504.6100a3 20 টাকা রিচার্জটি সফল হয়েছে। আপনার বর্তমান ব্যালেন্স 20.72 টাকা। নতুন মেয়াদ 11/03/24পর্যন্ত,0
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,1
lotto তে চলছে 50% পর্যন্ত ফ্ল্যাট ডিস্কাউন্ট। বিস্তারিত জানতে আজই ভিজিট করুন,1
"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx",0
Otherwise had part time job na-tuition..,0
"[Pathao] বেশি অডার গরি জিতি লন কক্সবাজার ট্রিপ!
তাহলে আর দেরি কিসের? পাঠাও ফুড-এ মি লাইকি রেস্টুরেন্ট চকবাজার ব্রাঞ্চ থেকে বেশি বেশি অর্ডার করে জিতে নিন কক্সবাজার ট্রিপ! 
এখনই অর্ডার করুন: https://cutt.ly/J1xS6vD *শর্ত প্রযোজ্য|",1
"নিজেরা এই কয়দিন একটু প্র‍্যাকটিস করছ বলে আমাদের চোখে দেখতেছ না আর কি,,,",0
 &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,0
"‘বীর মুক্তিযোদ্ধাদের আত্মত্যাগ ম্লান হবে না কোনোদিন, স্মার্ট বাংলাদেশ বিনির্মাণে শোধিত হবে রক্তঋণ’- মহান স্বাধীনতা ও জাতীয় দিবসে দেশবাসীকে জানাই শুভেচ্ছা-মুক্তিযুদ্ধ বিষয়ক মন্ত্রণালয়।",0
Sitting ard nothing to do lor. U leh busy w work?,0
I had it already..sabarish asked me to go..,0
"Just making dinner, you ?",0
You also didnt get na hi hi hi hi hi,0
"টাকা পাঠান কম খরচে! বিকাশ থেকে ব্র্যাক ব্যাংক একাউন্টে টাকা পাঠান, হাজারে মাত্র ১০ টাকা খরচে। বিস্তারিত: tinyurl.com/Bblbks2",1
"If i let you do this, i want you in the house by 8am.",0
When did you get to the library,0
I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,0
কল ড্রপ এর জন্য আপনি ফ্রি টকটাইম পেয়েছেন। ব্যালেন্স চেক *222*2#,1
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,1
"My sister in law, hope you are having a great month. Just saying hey. Abiola",0
Yes. I come to nyc for audiitions and am trying to relocate.,0
Hey... Why dont we just go watch x men and have lunch... Haha ,0
U WILL SWITCH YOUR FONE ON DAMMIT!!,0
বাংলা ও ইংলিশ মিডিয়ামের অভিজ্ঞ টিউটর খুঁজছেন?Tuition Aid 01601645145				,1
"১২ ডিসেম্বর জাতীয়ভাবে দেশব্যাপী ‘ডিজিটাল বাংলাদেশ দিবস ২০২২’ উদ্‌যাপিত হবে। দিবসের প্রতিপাদ্য “প্রগতিশীল প্রযুক্তি, অন্তর্ভুক্তিমূলক উন্নতি”। বিস্তারিত- www.digitalbangladesh.gov.bd",0
"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",0
FROM 88066 LOST £12 HELP,1
Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,0
"মাত্র ৫০০ টাকায় ইংরেজি কোর্স করতে ক্লিক করুন
 http://bit.ly/3IVA0tu|",1
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,1
I see the letter B on my car,0
100 dating service cal;l 09064012103 box334sk38ch,1
I'm in office now . I will call you  &lt;#&gt;  min:),0
Oh god..taken the teeth?is it paining,0
তোদেরটার কোনো খবর পাইসোস এখনো?!|,0
"আজ ৭ এপ্রিল বিশ্ব স্বাস্থ্য দিবস। এবারের প্রতিপাদ্য “সকলের জন্য সুন্দর ও স্বাস্থ্যকর বিশ্ব গড়ি”। - স্বাস্থ্য শিক্ষা ব্যুরো, স্বাস্থ্য অধিদপ্তর, স্বাস্থ্য সেবা বিভাগ, স্বাস্থ্য ও পরিবার কল্যান মন্ত্রণালয়।",0
আগামীকাল শেষ হচ্ছে ডায়মন্ড ওয়ার্ল্ড চট্টগ্রাম শাখার জুয়েলারী মেলা। দারুণ সব অফার পেতে চলে আসুন আজই। কল: ০১৭১৩১৯৯২৭০,1
"Gosh that , what a pain. Spose I better come then.",0
What about this one then.,0
Is it your yahoo boys that bring in the perf? Or legal.,0
প্রথমবার বেটা আমাকে ২০ টাকার নোট একটা আর ১০ টাকার নোট একটা দিসিল।পরেরবার বিল দিতে গিয়ে আমি ৫০ টাকার নোট কতগুলার সাথে ওগুলা আবার বেটাকে দিয়ে দিসি।|,0
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",0
Sorry i din lock my keypad.,0
NO GIFTS!! You trying to get me to throw myself off a cliff or something?,0
ফ্লোর ক্লিনার ১লিঃ৳১৪৯মাসের বাজারে ছাড় কোড:CD2 T&C chdl.co/pukKKgMF|,1
Msg me when rajini comes.,0
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",0
Ok lor... Or u wan me go look 4 u?,0
We currently have a message awaiting your collection. To collect your message just call 08718723815.,1
এখন থেকে ‘নামজারি ফি’ নগদ অর্থের পরিবর্তে শুধুমাত্র অনলাইনে প্রদান করতে হবে -ভূমি মন্ত্রণালয়।,0
"ঢাকা গাউন্ডসেল এ স্বাগতম, আপনি জেনে আনন্দিত হবেন আমরা বাȁায় নতুন শো-রুম খুলেছি। এলখােন আপনারা
পাচ্ছেন 75% পযর্ন্ত ছাড়। আজই ঘুরে আসুন আমােদর শোরুম থেকে । |",1
YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,1
U calling me right? Call my hand phone...,0
Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,0
One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,0
"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",0
Yo theres no class tmrw right?,0
"Just arrived, see you in a couple days &lt;3",0
"What part of ""don't initiate"" don't you understand",0
I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,0
I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,0
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,1
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0
Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,0
"ক্ষুদ্র ক্ষুদ্র সম্পদ করে আহরন,",0
"স্পেশাল অফার ১০জিবি(বোনাসসহ)১৩০টাকা ৩০দিন।ডায়াল *১২১*৫৪৬৯#, mygp.li/mo|",1
Ü give me some time to walk there.,0
"Yeah, where's your class at?",0
অ্যাপ দিয়ে কার্ড থেকে ৯৯৯ টাকা অ্যাড মানি করলে ২১ টাকা ক্যাশব্যাক! TCA,1
বিশেষ অফার! পার্ট-টাইম লেখালেখির কাজ!,1
"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?",0
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,1
"আলী আকবর (মিন্টু) ভাইয়ের সালাম নিন, জনগনের সেবা করার সুযোগ দিন।",1
"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",0
Would really appreciate if you call me. Just need someone to talk to.,0
"আকর্ষণীয় ১৫% ছাড়* ৳১০০ পর্যন্ত! উপায় অ্যাপ দিয়ে বিডিটিকেটস এর পেমেন্ট করলেই নিশ্চিত ছাড়, সর্বোচ্চ ৳৩০০ প্রতি কাস্টমার।",1
"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",0
And of course you should make a stink!,0
আলহামদুলিল্লাহ,0
জলসা মুভিজ-এ নতুন বছর উদযাপন দেখতে আজই রিচার্জ করুন আপনার আকাশ সংযোগ।,1
When're you guys getting back? G said you were thinking about not staying for mcr,0
Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,0
Lolnice. I went from a fish to ..water.?,0
"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",0
পার্ট-টাইম ফ্রিল্যান্স প্রজেক্টে কাজ করুন!,1
Gud ni8 dear..slp well..take care..swt dreams..Muah..,0
০২ অক্টোবর জাতীয় উৎপাদনশীলতা দিবস। এ বছর দিবসের মূল প্রতিপাদ্য বিষয়-“অপ্রতিরোধ্য অগ্রযাত্রায় উৎপাদনশীলতা”।,0
"It's fine, imma get a drink or somethin. Want me to come find you?",0
Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),0
"“১৪ অক্টোবর ২০২১ বিশ্ব মান দিবস। এবারের প্রতিপাদ্য ‘সমন্বিত উদ্যোগে টেকসই উন্নত বিশ্ব বিনির্মাণে -মান’ বিএসটিআই, শিল্প মন্ত্রণালয়।”",0
স্রষ্টার সৃষ্টি কত সুন্দর । প্রশংসা একমাত্র তারই।|,0
ঘরে বসে গ্রাফিক ডিজাইন কাজ করুন!,1
"I‘ve got some salt, you can rub it in my open wounds if you like!",0
Ok... Sweet dreams...,0
"প্রিয় গ্রাহক, সরকারি নির্দেশনা অনুযায়ী এখন ডিশ দেখতে অবশ্যই ডিজিটাল সেট টপ বক্স ব্যবহার করতে হবে। তাই আজই আপনার বন্ধ",1
Oh. U must have taken your REAL Valentine out shopping first.,0
I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,0
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0
Still in the area of the restaurant. Ill try to come back soon,0
প্রতিদিন ৮০০ টাকার কেনাকাটায় ফ্রি ডেলিভারি!,1
Is ur paper in e morn or aft tmr?,0
From tomorrow onwards eve 6 to 3 work.,0
Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,1
HI ITS KATE CAN U GIVE ME A RING ASAP XXX,0
That one week leave i put know that time. Why.,0
Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,0
"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",0
"I'm back, lemme know when you're ready",0
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1
"স্যার [CK21252], আপনার সংযোগটির মেয়াদ শেষ হতে যাচ্ছে 2023-02-27 তারিখে। অনুগ্রহ করে বিল পরিশোধ করুন । বিকাশ: 01782 66 33 77|",0
Ü still attending da talks?,0
They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..  ,0
২৮দিনের জন্য ৫জিবি সোশ্যাল প্যাক মাত্র ১৩৯টাকায়! কিনতে: *212*725#,1
"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",1
No..few hours before.went to hair cut .,0
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",1
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",0
নিশ্চিন্তে সারামাস। মাই রবি অ্যাপে ২৫জিবি+৬০০মিঃ+২৭৳ ক্যাশব্যাক ৫৩০৳।ক্লিক cutt.ly/d530,1
পেয়ে গেছেন ১প/সে(+tax) রেট ১৫ দিন ও ৪৯ MB ইন্টারনেট ৩ দিন মেয়াদ,1
I've reached already.,0
Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,0
না ম্যাম।|,0
You tell what happen dont behave like this to me. Ok no need to say,0
আপনার ইচ্ছেমতো কাজ করে লাখপতি হোন!,1
Ok i'm coming home now.,0
"সবার আগে সুশাসন, জনসেবায় উদ্ভাবন",0
I.ll post her out l8r. In class,0
"‘ফলে পুষ্টি, অর্থ বেশ-স্মার্ট কৃষির বাংলাদেশ’",0
Are you at work right now ?,0
নতুন অফার! সব প্রোটিন পণ্যে ১৫% ডিসকাউন্ট!,1
"Call me, i am senthil from hsbc.",0
I am in a marriage function,0
"তোমরা তো হিংসুক বান্ধুবি সব গুলা,,,,নাইলে এতোদিন কি আমি সুন্দর না হই থাকতাম?! তোমরা মেরিন সিটি মেগা শপিং কমপ্লেক্স থেকে লুকিয়ে লুকিয়ে সব কিনে কিনে মাখো আর সুন্দর হও,,,আমারে কিচ্ছু জানাও না হুহ,,,|",0
On the way to office da..,0
"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",0
আস্থা অ্যাপে FD বা DPS খুলুন খুব সহজেই https://tinyurl.com/BBLFDO,1
I wont do anything de.,0
আমি তো বিকেলে পারবো যে|,0
"ইনস্ট্যান্ট বোনাস ৳১০০ পেতে আস্থা অ্যাপ থেকে বিকাশ-এ ২ বার ঠিক ৳৭,৫০০ ট্রান্সফার করুন tinyurl.com/BRC214",1
"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx",0
Hows the champ just leaving glasgow!,0
আকাশে উড্ডয়নরত বিমানকে লক্ষ্য করে লেজার রশ্মি নিক্ষেপ না করার জন্য অনুরোধ করা হলো। এটি বিমানের নিরাপত্তার জন্য ঝুঁকিপূর্ণ এবং বিপদজনক।,0
I hope your pee burns tonite.,0
ঘরে বসে ডাটা এন্ট্রি করে আয় করুন!,1
ট্রানজ্যাকশন নম্বর R230713.0547.21002a 49 টাকা রিচার্জটি সফল হয়েছে। আপনার বর্তমান ব্যালেন্স 49.68 টাকা। নতুন মেয়াদ 11/03/24পর্যন্ত,0
"Hurry up, I've been weed-deficient for like three days",0
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,0
Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,0
Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,0
How do you guys go to see movies on your side.,0
Where did u go? My phone is gonna die you have to stay in here,0
তোমায় যদি-বুশরা শাহরিয়ার গানটি Airteltune সেট করতে dial *22788*951#|,1
Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,0
"“পশুর চামড়া ছাড়ানোর ৪/৫ ঘণ্টার মধ্যে রক্ত-মাংস-চর্বি পরিষ্কার করে গরু/মহিষ প্রতি ৮-১০ কেজি এবং ছাগল/ভেড়া প্রতি ৩-৪ কেজি লবণ লাগিয়ে জাতীয় সম্পদ চামড়া রক্ষা করুন”। বিসিক, শিল্প মন্ত্রণালয়।",0
১১০% ক্যাশব্যাক! ৳৫৫১ ক্যাশব্যাক পেতে আজই রিচার্জ করুন মাত্র ৳৫০১ *T&amp;C,1
আকাশ সংযোগ রিচার্জ করুন আর বাংলাদেশ-আফগানিস্তান সিরিজের টি২০ ম্যাচগুলো গাজী টিভি ও টি-স্পোর্টস এইচডি-তে দেখুন,1
Yeah so basically any time next week you can get away from your mom &amp; get up before 3,0
And whenever you and i see we can still hook up too.,0
"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",0
সীমিত সময়ের জন্য! ফ্রোজেন ফুডে ৩০% পর্যন্ত ডিসকাউন্ট!,1
 and  picking them up from various points,0
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub,1
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,0
১০০টিরও বেশি ডাইন-ইন আউটলেটে ইফতারে ব্র্যাক ব্যাংক কার্ড দিয়ে পাবেন ২৫% পর্যন্ত ছাড়! tinyurl.com/BRCDnn,1
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",0
এয়ারটেলে আপনার জন্য সেরা সব অফার পেতে *4# বা *123*3# ডায়াল করুন আজই।,1
Me i'm not workin. Once i get job...,0
Don know..wait i will check it.,0
The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,0
ফ্রি রিচার্জ পেতে আমাদের সার্ভে সম্পন্ন করুন!,1
"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",0
Hi! This is Roger from CL. How are you?,0
"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",0
"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",0
Going to join tomorrow.,0
"নিজেরা এই কয়দিন একটু প্র‍্যাকটিস করছ বলে আমাদের চোখে দেখতেছ না আর কি,,,|",0
Are you free now?can i call now?,0
So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,0
HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,0
Do u noe wat time e place dat sells 4d closes?,0
"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx",0
‘সচেতনতা-স্বীকৃতি-মূল্যায়ন: শুধু বেঁচে থাকা থেকে সমৃদ্ধির পথে যাত্রা’,0
Dont you have message offer,0
"Hmph. Go head, big baller.",0
Nah im goin 2 the wrks with j wot bout u?,0
মাসে মাত্র ৫ ঘণ্টা কাজ করে ঘরে বসে আয় করুন!,1
Mm i had my food da from out,0
ক্লিক করুনঃ onelink.to/j7rwyf বিস্তারিত জানতে কল করুনঃ ১৬৪৬০ *শর্ত প্রযোজ্য,1
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0
Ok c ü then.,0
That sucks. I'll go over so u can do my hair. You'll do it free right?,0
"Hm good morning, headache anyone? :-)",0
নিরাপত্তা আপডেট করুন এবং ৫০% ডিসকাউন্ট পান!,1
Yes:)here tv is always available in work place..,0
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",0
I was gonna ask you lol but i think its at 7,0
Hey are you angry with me. Reply me dr.,0
"* Was really good to see you the other day dudette, been missing you!",0
"বসুন্ধরা, যমুনা ফিউচার পার্ক ও পিংক সিটি শপিং মলে ঈদ শপিংয়ে সর্বোচ্চ ২,০০০ বোনাস রিওয়ার্ড পয়েন্টস শুধুমাত্র ব্র্যাক ব্যাংক ক্রেডিট কার্ডে! tinyurl.com/BBLVRP",1
লকডাউনের আগেই রবি অ্যাপে কিনুন ৩০জিবি+৮০০মিঃ ৫৫০৳।ক্লিক cutt.ly/inr,1
"বারিতে বসেই মাসে ৫০,০০০ টাকা আয় করুন!",1
When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,0
অভিনন্দন। আপনি বিকাশের নিয়মিত ব্যবহারকারী হিসেবে বিকাশের স্পেশাল কাস্টমার হিসেবে নির্বাচিত হয়েছেন। আপনি বিকাশ থেকে পেতে যাচ্ছেন দুই লক্ষ টাকা । জানতে এখনই ডায়াল করুন,1
বিনিয়োগ ছাড়াই ঘরে বসে আয় করার সুযোগ!,1
I've been trying to reach him without success,0
Boo. How's things? I'm back at home and a little bored already :-(,0
"That's the trouble with classes that go well - you're due a dodgey one … Expecting mine tomo! See you for recovery, same time, same place ",0
ধুরো।আর হিসাব করতে পারব না।যা পাই তুই হিসাব করে আমাকে npsb করে দে।,0
"ঢাকা গাউন্ডসেল এ স্বাগতম, আপনি জেনে আনন্দিত হবেন আমরা বাȁায় নতুন শো-রুম খুলেছি। এলখােন আপনারা
পাচ্ছেন 75% পযর্ন্ত ছাড়। আজই ঘুরে আসুন আমােদর শোরুম থেকে ।",1
আগামী ২৭/০৭/২০২১ সকাল ১০:৩০টায় ওসমানি স্মৃতি মিলনায়তনে জনপ্রশাসন পদক প্রদান করা হবে। মাননীয় প্রধানমন্ত্রী প্রধান অতিথি হিসেবে ভার্চুয়ালি সংযুক্ত থাকবেন। বিটিভি ও বাংলাদেশ বেতার অনুষ্ঠানটি সরাসরি সম্প্রচার করবে।,0
and free shipping এই অফারেই কিনে নিন পছন্দের সব পণ্য|,1
Ha ha ha good joke. Girls are situation seekers.,0
How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,0
"Aight, let me know when you're gonna be around usf",0
"বিকাশ থেকে রবিতে ১০টাকা রিচার্জে ২০০% ক্যাশব্যাক ২৮সেপ্টেম্বর পর্যন্ত। ক্যাশব্যাক পাবেন ১বার, সকাল ১০টা - বিকাল ৩:৫৯মিনিট পর্যন্ত প্রতি মিনিটে ১ম ২০জন রিচার্জকারী। ডাউনলোড- https://bka.sh/bkblnet",1
"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",1
Its not that time of the month nor mid of the time?,0
HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...,0
Ya even those cookies have jelly on them,0
Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,0
Yup but not studying surfing lor. I'm in e lazy mode today.,0
And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,0
Yay can't wait to party together!,0
"বিশ্ব ভালোবাসা দিবস উপলক্ষে ডায়মন্ড ওয়ার্ল্ডের অনলাইন অর্ডারে থাকছে ডায়মন্ড গহনাতে ২৫% ও আরো ৫% ছাড় স্কীমে। যেকোনো কেনাকাটায় নিশ্চিত উপহার ১৫/০২/২৪ পর্যন্ত। কল: ০১৬১৩১৯৯২৭০, ভিজিট: diamondworldltd.com",1
Have you started in skye,0
Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... ,0
"Could you not read me, my Love ? I answered you",0
খাতুনগঞ্জে ৯ টা ৯:৩০ থেকে কাস্টমার আসা শুরু করে যে রাতের ৭ টা ৮ টায়ও আসে।পারে না ব্যাংকেই থেকে যায়।|,0
"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",0
Noooooooo please. Last thing I need is stress. For once in your life be fair.,0
